customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn,Churn_Probability,Predicted_Churn,Risk_Level
8773-HHUOZ,17,64.7,1093.1,0,0,3,1,0.3500182,0,Low Risk
3841-NFECX,71,96.35,6766.95,2,1,1,0,0.016511125,0,Low Risk
4929-XIHVW,2,95.5,181.65,0,1,1,0,0.5405165,1,Medium Risk
6827-IEAUQ,27,66.15,1874.45,1,0,3,0,0.020591348,0,Low Risk
7310-EGVHZ,1,20.2,20.2,0,2,0,0,0.43525064,0,Medium Risk
3413-BMNZE,1,45.25,45.25,0,0,0,0,0.47692472,0,Medium Risk
6234-RAAPL,72,99.9,7251.7,2,1,0,0,0.017257215,0,Low Risk
6047-YHPVI,5,69.7,316.9,0,1,2,1,0.5886321,1,Medium Risk
6572-ADKRS,46,74.8,3548.3,0,1,1,0,0.2965118,0,Low Risk
5380-WJKOV,34,106.35,3549.25,0,1,2,1,0.41747162,0,Medium Risk
8168-UQWWF,11,97.85,1105.4,0,1,0,1,0.94082147,1,High Risk
8865-TNMNX,10,49.55,475.7,1,0,3,0,0.029249325,0,Low Risk
9489-DEDVP,70,69.2,4872.35,2,0,1,0,0.05565997,0,Low Risk
9867-JCZSP,17,20.75,418.25,1,2,3,0,0.003686371,0,Low Risk
4671-VJLCL,63,79.85,4861.45,2,0,1,0,0.0072111026,0,Low Risk
4080-IIARD,13,76.2,981.45,0,0,2,0,0.106820144,0,Low Risk
3714-NTNFO,49,84.5,3906.7,0,1,2,0,0.3713907,0,Low Risk
5948-UJZLF,2,49.25,97.0,0,0,3,0,0.48180485,0,Medium Risk
7760-OYPDY,2,80.65,144.15,0,1,2,1,0.7920236,1,High Risk
7639-LIAYI,52,79.75,4217.8,2,0,1,0,0.007227045,0,Low Risk
2954-PIBKO,69,64.15,4254.1,2,0,1,0,0.014441078,0,Low Risk
8012-SOUDQ,43,90.25,3838.75,0,1,2,0,0.23368512,0,Low Risk
9420-LOJKX,15,99.1,1426.4,0,1,1,1,0.76575786,1,High Risk
6575-SUVOI,25,69.5,1752.65,0,0,1,0,0.10557644,0,Low Risk
7495-OOKFY,8,80.65,633.3,0,1,1,1,0.7913333,1,High Risk
4667-QONEA,60,74.85,4456.35,1,0,1,0,0.022447392,0,Low Risk
1658-BYGOY,18,95.45,1752.55,0,1,2,1,0.5522317,1,Medium Risk
8769-KKTPH,63,99.65,6311.2,1,1,1,0,0.06425106,0,Low Risk
5067-XJQFU,66,108.45,7076.35,1,1,2,0,0.059551965,0,Low Risk
3957-SQXML,34,24.95,894.3,2,2,1,0,0.022504505,0,Low Risk
5954-BDFSG,72,107.5,7853.7,2,1,1,0,0.008950919,0,Low Risk
0434-CSFON,47,100.5,4707.1,0,1,2,0,0.33456215,0,Low Risk
1215-FIGMP,60,89.9,5450.7,0,1,0,0,0.13738346,0,Low Risk
0526-SXDJP,72,42.1,2962.0,2,0,0,0,0.0017773921,0,Low Risk
0557-ASKVU,18,54.4,957.1,1,0,1,0,0.1092192,0,Low Risk
5698-BQJOH,9,94.4,857.25,0,1,2,1,0.6873682,1,Medium Risk
5122-CYFXA,3,75.3,244.1,0,0,2,0,0.46709147,0,Medium Risk
8627-ZYGSZ,47,78.9,3650.35,1,1,2,0,0.1422117,0,Low Risk
3410-YOQBQ,31,79.2,2497.2,2,0,3,0,0.016873945,0,Low Risk
3170-NMYVV,50,20.15,930.9,2,2,0,0,0.0014256794,0,Low Risk
7410-OIEDU,10,79.85,887.35,0,1,3,0,0.48093116,0,Medium Risk
2273-QCKXA,1,49.05,49.05,0,0,3,0,0.4833006,0,Medium Risk
0731-EBJQB,52,20.4,1090.65,1,2,2,0,0.0005997493,0,Low Risk
1891-QRQSA,64,111.6,7099.0,2,1,0,0,0.029255252,0,Low Risk
8028-PNXHQ,62,24.25,1424.6,2,2,0,0,0.0004378529,0,Low Risk
5630-AHZIL,3,64.5,177.4,0,0,0,0,0.5568272,1,Medium Risk
2673-CXQEU,56,110.5,6139.5,1,1,2,0,0.45005164,0,Medium Risk
6416-JNVRK,46,55.65,2688.85,1,0,1,0,0.064076215,0,Low Risk
5590-ZSKRV,8,54.65,482.25,0,0,3,0,0.06936805,0,Low Risk
0191-ZHSKZ,30,74.75,2111.3,0,0,2,0,0.09222949,0,Low Risk
3887-PBQAO,45,25.9,1216.6,1,2,1,0,0.026756544,0,Low Risk
5919-TMRGD,1,79.35,79.35,0,1,2,1,0.9442967,1,High Risk
8108-UXRQN,11,50.55,565.35,0,0,2,0,0.15485066,0,Low Risk
9191-MYQKX,7,75.15,496.9,0,1,0,1,0.4992255,0,Medium Risk
9919-YLNNG,42,103.8,4327.5,0,1,0,0,0.37499255,0,Low Risk
0318-ZOPWS,49,20.15,973.35,2,2,0,0,0.0036332894,0,Low Risk
4445-ZJNMU,9,99.3,918.75,0,1,1,0,0.89113647,1,High Risk
4808-YNLEU,35,62.15,2215.45,1,0,0,0,0.01645648,0,Low Risk
1862-QRWPE,48,20.65,1057.0,2,2,0,0,0.004418416,0,Low Risk
2796-NNUFI,46,19.95,927.1,2,2,3,0,0.0010044771,0,Low Risk
3016-KSVCP,29,33.75,1009.25,0,0,3,0,0.04459076,0,Low Risk
4767-HZZHQ,30,82.05,2570.2,0,1,0,0,0.21826558,0,Low Risk
2424-WVHPL,1,74.7,74.7,0,1,2,0,0.7634073,1,High Risk
7233-PAHHL,66,84.0,5714.25,2,0,3,0,0.0014993665,0,Low Risk
6067-NGCEU,65,111.05,7107.0,0,1,1,0,0.07705631,0,Low Risk
9848-JQJTX,72,100.9,7459.05,2,1,0,0,0.014276096,0,Low Risk
8637-XJIVR,12,78.95,927.35,0,1,2,1,0.4801065,0,Medium Risk
9803-FTJCG,71,66.85,4748.7,1,0,1,0,0.0065174713,0,Low Risk
0278-YXOOG,5,21.05,113.85,0,2,3,1,0.21793601,0,Low Risk
3212-KXOCR,52,21.0,1107.2,2,2,0,0,0.0035278108,0,Low Risk
4598-XLKNJ,25,98.5,2514.5,0,1,2,1,0.855323,1,High Risk
6380-ARCEH,1,20.2,20.2,0,2,3,0,0.5333667,1,Medium Risk
3679-XASPY,1,19.45,19.45,0,2,2,0,0.74392205,1,High Risk
7123-WQUHX,38,95.0,3605.6,1,1,0,0,0.048348498,0,Low Risk
5386-THSLQ,66,45.55,3027.25,1,0,0,0,0.018116314,0,Low Risk
3192-NQECA,68,110.0,7611.85,2,1,0,1,0.3727363,0,Low Risk
6180-YBIQI,5,24.3,100.2,0,0,3,0,0.5477346,1,Medium Risk
6728-DKUCO,72,104.15,7303.05,1,1,2,0,0.041894086,0,Low Risk
9750-BOOHV,32,30.15,927.65,1,0,3,0,0.01011105,0,Low Risk
8597-CWYHH,43,94.35,3921.3,1,1,3,0,0.043617215,0,Low Risk
2848-YXSMW,72,19.4,1363.25,2,2,1,0,0.00047423775,0,Low Risk
0486-HECZI,55,96.75,5238.9,0,1,2,1,0.5544061,1,Medium Risk
4549-ZDQYY,52,57.95,3042.25,1,0,1,0,0.06295079,0,Low Risk
5712-AHQNN,43,91.65,3954.1,0,1,2,0,0.09037636,0,Low Risk
4846-WHAFZ,37,76.5,2868.15,0,1,2,1,0.5169716,1,Medium Risk
5256-SKJGO,64,54.6,3423.5,2,0,2,0,0.012241177,0,Low Risk
3071-VBYPO,3,89.85,248.4,0,1,2,0,0.670498,1,Medium Risk
9560-BBZXK,36,31.05,1126.35,2,0,0,0,0.013392061,0,Low Risk
5299-RULOA,10,100.25,1064.65,0,1,2,1,0.9553072,1,High Risk
8402-OOOHJ,41,20.65,835.15,2,2,3,0,0.0010488079,0,Low Risk
9445-ZUEQE,27,85.2,2151.6,0,1,1,0,0.2655542,0,Low Risk
1091-SOZGA,56,99.8,5515.45,1,1,1,0,0.11116255,0,Low Risk
2928-HLDBA,6,20.7,112.75,0,2,3,0,0.023843562,0,Low Risk
0404-SWRVG,3,74.4,229.55,0,1,2,1,0.60818315,1,Medium Risk
6497-TILVL,7,50.7,350.35,0,0,3,0,0.32075933,0,Low Risk
7219-TLZHO,4,20.85,62.9,0,2,3,0,0.09648843,0,Low Risk
4622-YNKIJ,33,88.95,3027.65,2,1,2,0,0.012336618,0,Low Risk
4412-YLTKF,27,78.05,2135.5,0,1,2,1,0.3900832,0,Low Risk
6734-PSBAW,72,23.55,1723.95,2,2,0,0,6.8778085e-05,0,Low Risk
3930-ZGWVE,1,19.75,19.75,0,2,3,0,0.48149163,0,Medium Risk
2639-UGMAZ,71,56.45,3985.35,1,0,2,0,0.03505491,0,Low Risk
2876-GZYZC,13,85.95,1215.65,0,1,2,0,0.37941962,0,Low Risk
6207-WIOLX,25,58.6,1502.65,0,0,1,1,0.29818317,0,Low Risk
8587-XYZSF,67,50.55,3260.1,2,0,0,0,0.005746867,0,Low Risk
3091-FYHKI,1,35.45,35.45,0,0,2,1,0.92051476,1,High Risk
2372-HWUHI,2,44.35,81.25,0,0,2,1,0.34336954,0,Low Risk
7799-LGRDP,43,25.7,1188.2,2,2,1,0,0.0049633356,0,Low Risk
7850-VWJUU,23,75.0,1778.5,0,1,0,0,0.2827623,0,Low Risk
3774-VBNXY,64,20.2,1277.75,2,2,3,0,0.00064460305,0,Low Risk
6217-KDYWC,57,19.6,1170.55,2,2,3,0,0.009555761,0,Low Risk
0390-DCFDQ,1,70.45,70.45,0,1,3,1,0.7904635,1,High Risk
3146-MSEGF,72,88.05,6425.65,2,0,1,0,0.0055105677,0,Low Risk
4080-OGPJL,8,71.15,563.65,0,0,2,1,0.37528118,0,Low Risk
1095-WGNGG,61,101.05,5971.25,2,1,0,0,0.027428893,0,Low Risk
2636-SJDOU,64,84.3,5289.05,1,1,1,0,0.12437659,0,Low Risk
1131-QQZEB,71,23.95,1756.2,2,2,0,0,9.2794144e-05,0,Low Risk
5716-EZXZN,65,99.05,6416.7,2,1,1,0,0.017632788,0,Low Risk
6837-BJYDQ,3,19.6,61.35,1,2,3,0,0.006414726,0,Low Risk
2135-RXIHG,1,45.65,45.65,0,0,2,1,0.8528374,1,High Risk
6440-DKQGE,30,64.5,1929.95,1,0,1,0,0.0208732,0,Low Risk
3466-BYAVD,15,69.5,1071.4,0,0,3,0,0.10734058,0,Low Risk
3780-YVMFA,8,68.55,564.35,0,0,2,0,0.24433964,0,Low Risk
3874-EQOEP,7,95.0,655.5,0,1,3,1,0.8890729,1,High Risk
1679-JRFBR,70,108.15,7930.55,1,1,1,0,0.10751789,0,Low Risk
9073-ZZIAY,62,86.1,5215.25,2,0,2,0,0.0031542312,0,Low Risk
3077-RSNTJ,6,19.7,113.5,0,2,3,0,0.110985756,0,Low Risk
6551-GNYDG,14,80.9,1152.8,0,1,0,0,0.22717191,0,Low Risk
9167-APMXZ,22,84.15,1821.95,0,1,0,0,0.13904177,0,Low Risk
2749-CTKAJ,22,20.15,419.9,1,2,3,0,0.0012232058,0,Low Risk
6371-NZYEG,16,64.25,1024.0,2,0,3,0,0.008467742,0,Low Risk
7554-NEWDD,10,25.7,251.6,2,2,0,0,0.005869321,0,Low Risk
8992-VONJD,13,56.0,764.55,0,0,2,0,0.20366359,0,Low Risk
0867-MKZVY,20,82.4,1592.35,0,1,2,1,0.55919194,1,Medium Risk
4482-EWFMI,2,69.7,135.2,0,1,2,0,0.53373694,1,Medium Risk
4648-YPBTM,53,73.9,3958.25,2,0,0,0,0.0014239948,0,Low Risk
2907-ILJBN,11,20.6,233.9,1,2,3,0,0.0029994051,0,Low Risk
6345-FZOQH,69,19.9,1363.45,2,2,3,0,0.0003728102,0,Low Risk
3376-BMGFE,4,70.9,273.0,0,1,0,1,0.8307694,1,High Risk
5997-OPVFA,72,89.05,6254.45,2,0,0,0,0.0013261075,0,Low Risk
3445-HXXGF,58,45.3,2651.2,0,0,2,1,0.7936685,1,High Risk
1159-WFSGR,16,20.4,321.4,0,2,2,0,0.020816369,0,Low Risk
7654-YWJUF,43,84.25,3539.25,1,1,0,0,0.06366977,0,Low Risk
1875-QIVME,2,104.4,242.8,0,1,2,1,0.85590494,1,High Risk
6727-IOTLZ,14,81.95,1181.75,2,0,3,0,0.0028607217,0,Low Risk
0691-JVSYA,53,94.85,5000.2,1,1,0,1,0.32790366,0,Low Risk
5918-VUKWP,32,20.55,654.55,1,2,0,0,0.022200458,0,Low Risk
1744-JHKYS,34,24.7,780.2,0,2,2,0,0.013484169,0,Low Risk
2656-FMOKZ,15,74.45,1145.7,0,1,3,1,0.76788735,1,High Risk
2070-FNEXE,7,76.45,503.6,0,1,0,1,0.6244644,1,Medium Risk
5947-SGKCL,15,105.35,1559.25,0,1,0,0,0.3298358,0,Low Risk
3712-PKXZA,61,20.55,1252.0,1,2,1,0,0.0028409625,0,Low Risk
6317-YPKDH,1,29.95,29.95,0,0,0,1,0.33158064,0,Low Risk
6582-OIVSP,1,45.3,45.3,0,0,3,0,0.5704562,1,Medium Risk
9367-WXLCH,8,84.5,662.65,0,1,0,1,0.8612916,1,High Risk
5524-KHNJP,33,74.75,2453.3,1,0,1,0,0.10993972,0,Low Risk
1918-ZBFQJ,13,79.25,1111.65,0,1,2,1,0.58813477,1,Medium Risk
1024-GUALD,1,24.8,24.8,0,0,2,1,0.766307,1,High Risk
4827-USJHP,20,51.8,1023.85,0,0,3,0,0.07211796,0,Low Risk
8167-GJLRN,3,30.4,82.15,0,0,2,0,0.26911157,0,Low Risk
0956-SYCWG,13,19.65,244.8,1,2,2,0,0.0037446946,0,Low Risk
8017-UVSZU,40,56.6,2379.1,0,0,1,0,0.19457817,0,Low Risk
7100-FQPRV,43,71.9,3173.35,1,0,1,0,0.13085231,0,Low Risk
2472-OVKUP,6,91.0,531.0,0,1,2,1,0.84529227,1,High Risk
2984-RGEYA,69,19.75,1375.4,2,2,0,0,0.0059345285,0,Low Risk
9680-NIAUV,72,109.7,8129.3,2,1,1,0,0.0029966459,0,Low Risk
2146-EGVDT,59,19.3,1192.7,2,2,1,0,0.0054776226,0,Low Risk
2604-IJPDU,20,96.55,1901.65,0,1,2,0,0.65103763,1,Medium Risk
9178-JHUVJ,24,24.1,587.4,2,2,0,0,0.011146021,0,Low Risk
6168-YBYNP,59,111.35,6519.75,0,1,2,0,0.16668426,0,Low Risk
7255-SSFBC,72,112.25,8041.65,2,1,0,0,0.0010500127,0,Low Risk
3645-DEYGF,1,20.75,20.75,0,2,3,0,0.16803445,0,Low Risk
9323-HGFWY,27,101.9,2681.15,1,1,1,0,0.17917047,0,Low Risk
8544-GOQSH,14,80.05,1112.3,0,1,1,0,0.34486493,0,Low Risk
3363-DTIVD,71,105.55,7405.5,2,1,2,0,0.04847122,0,Low Risk
7018-WBJNK,13,78.3,1033.95,0,1,1,0,0.2276725,0,Low Risk
9142-KZXOP,44,68.85,2958.95,0,1,1,0,0.17734139,0,Low Risk
7674-YTAFD,33,79.95,2684.85,1,1,0,0,0.030954368,0,Low Risk
6348-SNFUS,72,55.45,4179.2,2,0,1,0,0.005917326,0,Low Risk
1285-OKIPP,1,79.9,79.9,0,1,2,1,0.94253284,1,High Risk
7825-ECJRF,19,106.6,1934.45,0,1,2,1,0.75230604,1,High Risk
1347-KTTTA,64,102.45,6654.1,1,1,1,0,0.0776483,0,Low Risk
7841-TZDMQ,2,46.0,84.5,0,0,1,1,0.7368574,1,High Risk
4195-NZGTA,1,25.25,25.25,0,0,2,0,0.692078,1,Medium Risk
7157-SMCFK,61,19.75,1124.2,2,2,3,0,0.024836658,0,Low Risk
4709-LKHYG,29,20.0,540.05,1,2,2,0,0.001522742,0,Low Risk
2504-DSHIH,23,86.8,1975.85,0,1,2,0,0.17621066,0,Low Risk
0699-NDKJM,57,58.75,3437.45,0,0,0,0,0.02887072,0,Low Risk
9286-BHDQG,72,45.25,3139.8,2,0,1,0,0.053092644,0,Low Risk
0230-WEQUW,66,56.6,3789.2,2,0,0,0,0.0012245972,0,Low Risk
2040-LDIWQ,65,84.2,5324.5,2,0,0,0,0.01477618,0,Low Risk
6496-JDSSB,8,80.0,624.6,0,1,0,0,0.6767627,1,Medium Risk
9408-SSNVZ,4,70.15,268.35,0,1,2,1,0.7253059,1,High Risk
4443-EMBNA,71,24.75,1836.9,2,2,0,0,0.00014241718,0,Low Risk
6469-MRVET,1,20.2,20.2,1,2,2,0,0.019930046,0,Low Risk
0742-MOABM,4,50.05,179.35,0,0,3,1,0.574784,1,Medium Risk
5961-VUSRV,12,19.35,219.35,1,2,0,0,0.13116127,0,Low Risk
6778-JFCMK,24,50.6,1288.75,1,0,3,0,0.016127082,0,Low Risk
6341-JVQGF,31,81.15,2545.75,1,0,3,0,0.14215311,0,Low Risk
2232-DMLXU,1,55.2,55.2,0,0,3,1,0.51650494,1,Medium Risk
4811-JBUVU,30,89.9,2723.15,0,1,1,0,0.45567647,0,Medium Risk
0945-TSONX,47,85.3,4107.25,2,0,1,0,0.009123525,0,Low Risk
2651-ZCBXV,54,108.0,5760.65,2,1,1,0,0.12177904,0,Low Risk
3316-UWXUY,50,93.5,4747.5,0,1,1,0,0.23223668,0,Low Risk
8937-RDTHP,1,84.6,84.6,0,1,3,1,0.78943163,1,High Risk
7083-MIOPC,72,20.25,1566.9,2,2,1,0,4.6071036e-05,0,Low Risk
1984-GPTEH,29,25.15,702.0,0,2,2,0,0.115194716,0,Low Risk
1251-KRREG,2,54.4,114.1,0,0,3,1,0.5466727,1,Medium Risk
0621-JFHOL,10,29.6,299.05,2,0,3,0,0.0077679865,0,Low Risk
9903-LYSAB,18,73.15,1305.95,0,1,2,0,0.20151933,0,Low Risk
0094-OIFMO,11,95.0,1120.3,0,1,2,1,0.9293984,1,High Risk
9227-UAQFT,16,19.75,284.35,2,2,3,0,0.017605906,0,Low Risk
7301-ABVAD,72,86.6,6350.5,2,0,0,0,0.0013261075,0,Low Risk
6614-FHDBO,72,109.2,7878.3,2,1,0,0,0.009191992,0,Low Risk
7576-ASEJU,41,74.7,3187.65,1,0,1,0,0.19484691,0,Low Risk
9058-HRZSV,65,94.4,6126.15,0,1,2,0,0.45822242,0,Medium Risk
4522-AKYLR,13,54.8,731.3,0,0,2,0,0.18819071,0,Low Risk
0221-WMXNQ,4,75.35,273.4,0,1,2,0,0.69090664,1,Medium Risk
0303-UNCIP,41,65.0,2531.8,1,0,3,0,0.058914404,0,Low Risk
9947-OTFQU,15,74.4,1074.3,0,1,2,1,0.798006,1,High Risk
0322-YINQP,1,48.55,48.55,0,0,3,1,0.49458554,0,Medium Risk
0959-WHOKV,42,99.0,4298.45,1,1,2,0,0.31496578,0,Low Risk
4075-JFPGR,51,93.5,4619.55,1,1,2,0,0.056868616,0,Low Risk
4629-NRXKX,2,70.4,147.15,0,1,2,1,0.53478086,1,Medium Risk
9514-JDSKI,1,40.2,40.2,0,0,2,1,0.86000735,1,High Risk
3282-ZISZV,32,83.7,2633.3,1,0,1,0,0.18438233,0,Low Risk
3675-YDUPJ,10,19.85,193.05,0,2,3,0,0.059238162,0,Low Risk
4111-BNXIF,67,59.55,4103.9,2,0,2,0,0.018329127,0,Low Risk
7017-VFHAY,61,115.1,7008.15,2,1,1,0,0.18923871,0,Low Risk
6655-LHBYW,50,114.35,5791.1,1,1,1,0,0.039448213,0,Low Risk
4959-JOSRX,2,44.6,80.55,0,0,1,1,0.5943554,1,Medium Risk
5046-NUHWD,29,45.0,1228.65,0,0,2,0,0.08788578,0,Low Risk
7273-TEFQD,3,41.15,132.2,0,0,2,1,0.47188511,0,Medium Risk
3606-TWKGI,13,106.9,1364.3,0,1,2,1,0.75800997,1,High Risk
7529-ZDFXI,57,89.85,4925.35,0,1,2,0,0.14104705,0,Low Risk
7605-BDWDC,31,49.85,1520.1,2,0,0,0,0.0050592376,0,Low Risk
1950-KSVVJ,45,113.3,5032.25,1,1,3,0,0.048231103,0,Low Risk
0123-CRBRT,61,88.1,5526.75,2,0,3,0,0.00038357874,0,Low Risk
6292-TOSSS,50,24.9,1195.25,2,2,0,0,0.004428534,0,Low Risk
3197-ARFOY,19,105.0,2007.25,0,1,3,0,0.675343,1,Medium Risk
6323-AYBRX,59,19.35,1099.6,2,2,3,1,0.4112974,0,Medium Risk
7014-ZZXAW,71,24.25,1732.95,2,2,1,0,0.00014377786,0,Low Risk
4385-GZQXV,16,94.45,1511.2,0,1,2,1,0.81531525,1,High Risk
7633-MVPUY,57,59.75,3450.15,2,0,2,0,0.003991427,0,Low Risk
6366-ZGQGL,1,24.8,24.8,0,0,0,1,0.63310343,1,Medium Risk
4716-HHKQH,20,107.05,2172.05,0,1,2,0,0.2832087,0,Low Risk
5940-AHUHD,1,70.6,70.6,0,1,3,1,0.7278463,1,High Risk
6432-TWQLB,5,85.4,401.1,0,1,2,1,0.72265303,1,High Risk
4484-GLZOU,52,105.05,5624.85,0,1,2,1,0.6596129,1,Medium Risk
3179-GBRWV,21,64.95,1339.8,0,0,0,0,0.15076657,0,Low Risk
8645-KWHJO,14,55.0,771.95,0,0,2,0,0.2256189,0,Low Risk
4130-MZLCC,5,50.55,244.75,0,0,0,0,0.26056397,0,Low Risk
0314-TKOSI,6,55.15,322.9,0,0,3,0,0.19773144,0,Low Risk
8229-MYEJZ,10,51.2,498.25,0,0,2,0,0.22379346,0,Low Risk
2080-SRCDE,1,25.4,25.4,0,2,3,0,0.14131275,0,Low Risk
9577-WJVCQ,68,54.45,3687.75,0,0,3,0,0.005225021,0,Low Risk
9512-UIBFX,18,95.15,1779.95,0,1,3,1,0.54952174,1,Medium Risk
6202-DYYFX,22,76.0,1783.6,1,1,1,0,0.037196975,0,Low Risk
3808-HFKDE,20,44.35,927.15,0,0,2,0,0.2642314,0,Low Risk
5583-SXDAG,1,70.0,70.0,0,1,2,1,0.8444038,1,High Risk
3488-PGMQJ,8,74.5,606.55,0,1,2,1,0.6869584,1,Medium Risk
3580-REOAC,10,44.85,435.4,0,0,1,1,0.45871228,0,Medium Risk
7534-BFESC,24,76.1,1712.7,0,1,2,1,0.38200384,0,Low Risk
3727-OWVYD,35,61.2,2021.2,1,0,3,0,0.02626258,0,Low Risk
2294-SALNE,23,86.8,1940.8,1,1,3,0,0.032729242,0,Low Risk
4847-TAJYI,6,89.35,567.8,0,1,2,0,0.63817745,1,Medium Risk
1563-IWQEX,12,19.7,220.35,0,2,3,0,0.14816639,0,Low Risk
8203-XJZRC,1,20.25,20.25,0,2,3,0,0.30972505,0,Low Risk
6556-DBKZF,71,76.05,5436.45,2,1,2,0,0.014328455,0,Low Risk
6851-WEFYX,35,100.8,3437.5,0,1,2,0,0.15967326,0,Low Risk
2985-JUUBZ,40,74.55,3015.75,0,0,2,0,0.16752271,0,Low Risk
6390-DSAZX,1,73.6,73.6,0,1,3,1,0.7961809,1,High Risk
0895-LMRSF,23,64.9,1509.8,1,0,0,0,0.017696766,0,Low Risk
8098-LLAZX,4,95.45,396.1,0,1,2,1,0.8056631,1,High Risk
8266-VBFQL,4,90.4,356.65,0,1,2,0,0.7967464,1,High Risk
8181-YHCMF,68,60.3,4109.0,2,0,1,0,0.022155263,0,Low Risk
2240-HSJQD,38,81.85,3141.7,0,1,3,0,0.17844309,0,Low Risk
1248-DYXUB,52,24.8,1229.1,2,2,3,0,0.0024493868,0,Low Risk
0265-EDXBD,32,74.9,2303.35,0,1,2,1,0.54400146,1,Medium Risk
4115-BNPJY,29,75.55,2054.4,2,0,3,0,0.002762845,0,Low Risk
3167-SNQPL,38,101.15,3741.85,0,1,2,0,0.43326095,0,Medium Risk
4091-TVOCN,48,78.75,3682.45,1,0,1,0,0.063745454,0,Low Risk
1098-TDVUQ,1,19.25,19.25,0,2,0,0,0.046328343,0,Low Risk
7277-OZCGZ,22,89.05,1886.25,0,1,2,0,0.39515284,0,Low Risk
1557-EMYVT,43,115.05,4895.1,2,1,1,0,0.053522293,0,Low Risk
2799-ARNLO,5,69.35,341.6,0,1,2,0,0.57101285,1,Medium Risk
7563-BIUPC,5,80.6,415.55,0,1,2,1,0.6790638,1,Medium Risk
5027-YOCXN,51,110.05,5686.4,1,1,1,0,0.15060164,0,Low Risk
3973-SKMLN,71,19.9,1355.1,2,2,1,0,0.00027316273,0,Low Risk
2321-OMBXY,38,80.3,3058.65,1,0,1,1,0.40994012,0,Medium Risk
2840-XANRC,24,93.15,2231.05,0,1,2,1,0.4142921,0,Medium Risk
6745-JEFZB,35,91.5,3236.35,0,1,1,0,0.2270545,0,Low Risk
5020-ZSTTY,54,82.45,4350.1,1,0,0,1,0.32639173,0,Low Risk
9880-TDQAC,72,60.0,4264.0,2,0,2,0,0.023134626,0,Low Risk
8705-WZCYL,1,44.8,44.8,0,0,2,0,0.3697088,0,Low Risk
7102-JJVTX,9,48.6,422.3,1,0,3,0,0.080521405,0,Low Risk
8626-PTQGE,69,60.05,4176.7,2,0,0,0,0.005774125,0,Low Risk
4983-CLMLV,52,102.7,5138.1,0,1,1,0,0.22699,0,Low Risk
5701-YVSVF,11,82.9,880.05,0,1,2,0,0.58449185,1,Medium Risk
5804-LEPIM,2,70.35,139.05,0,1,2,1,0.502373,1,Medium Risk
5697-GOMBF,28,35.9,973.65,0,0,2,0,0.16417037,0,Low Risk
2739-CACDQ,17,82.65,1470.05,0,1,1,0,0.5241219,1,Medium Risk
9385-EHGDO,35,19.85,739.35,2,2,3,0,0.0025510094,0,Low Risk
